id_reserva,id_cliente,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,precio_noche,nombre_hotel,estrellas,ciudad
5256cc90-139b-43d2-8ec5-412495d751cf,1,Feliciana,Cantón,feliciana.cantón@example.com,True,2025-02-18,2025-03-01,2025-03-02,113,,,,Madrid
84fd6209-bd8d-4a92-bfe6-c68ee2c49271,2,Leonardo,Hierro,leonardo.hierro@example.com,True,2025-02-18,2025-03-01,2025-03-02,194,,,,Madrid
40c4cb55-d1f5-407b-832f-4756b8ff77b4,3,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-02,14,119.96,Hotel Monte Verde,3,Madrid
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,4,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-02,38,211.53,Hotel Brisas del Mar,3,Madrid
57d4515a-447d-4067-afcb-9bdcf4e4e915,5,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-02,35,378.37,Hotel Camino del Sol,3,Madrid
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,6,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-02,36,85.45,Hotel Puerta del Cielo,3,Madrid
99c3dc4f-663c-45f7-849a-ac9313f3746a,7,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-02,43,309.8,Hotel Encanto Real,3,Madrid
4d65096e-5f12-4ce7-9fd6-dd20e3cf5194,8,Judith,Rivas,judith.rivas@example.com,True,2025-02-18,2025-03-01,2025-03-02,131,,,,Madrid
a5da0906-0fe5-4c30-b193-863df67a7b84,9,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-02,6,434.88,Palacio del Sol,2,Madrid
458029ad-cc9b-4d85-8290-fec170bcc02d,10,Adolfo,Cuervo,adolfo.cuervo@example.com,True,2025-02-18,2025-03-01,2025-03-02,114,,,,Madrid
3eca014e-f122-41d7-9dd3-b984b9153d57,11,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-02,3,216.57,Hotel Jardines del Rey,2,Madrid
ac0fe86e-90a0-4fe6-a02e-6ea00e9a8621,12,María Carmen,Navarro,maría carmen.navarro@example.com,True,2025-02-18,2025-03-01,2025-03-02,103,,,,Madrid
8d2d3ea2-14bb-4762-a7a4-a44e75d2d2f4,13,Ricardo,Caballero,ricardo.caballero@example.com,True,2025-02-18,2025-03-01,2025-03-02,181,,,,Madrid
8a68fb77-8798-4902-a92d-642ea5e47083,14,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-02,29,378.1,Hotel Las Estrellas,2,Madrid
77354d6e-4713-496f-af21-c231b909e29c,15,Luna,Segovia,luna.segovia@example.com,True,2025-02-18,2025-03-01,2025-03-02,114,,,,Madrid
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,16,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-02,47,358.07,Gran Hotel Madrid,3,Madrid
